151.00	0.8703	0.0052	0.0028	0.0028	0.1188
152.00	0.8698	0.0052	0.0028	0.0028	0.1194
153.00	0.8694	0.0052	0.0028	0.0028	0.1200
154.00	0.8689	0.0051	0.0027	0.0027	0.1205
155.00	0.8684	0.0051	0.0027	0.0027	0.1211
156.00	0.8679	0.0051	0.0027	0.0027	0.1216
157.00	0.8675	0.0050	0.0027	0.0027	0.1221
158.00	0.8670	0.0050	0.0027	0.0027	0.1227
159.00	0.8665	0.0050	0.0027	0.0027	0.1232
160.00	0.8661	0.0049	0.0026	0.0026	0.1237
161.00	0.8656	0.0049	0.0026	0.0026	0.1243
162.00	0.8652	0.0048	0.0026	0.0026	0.1248
163.00	0.8647	0.0048	0.0026	0.0026	0.1253
164.00	0.8643	0.0048	0.0026	0.0026	0.1258
165.00	0.8638	0.0047	0.0025	0.0025	0.1263
166.00	0.8634	0.0047	0.0025	0.0025	0.1268
167.00	0.8630	0.0047	0.0025	0.0025	0.1273
168.00	0.8625	0.0046	0.0025	0.0025	0.1278
169.00	0.8621	0.0046	0.0025	0.0025	0.1283
170.00	0.8617	0.0046	0.0025	0.0025	0.1288
171.00	0.8612	0.0045	0.0024	0.0024	0.1293
172.00	0.8608	0.0045	0.0024	0.0024	0.1298
173.00	0.8604	0.0045	0.0024	0.0024	0.1303
174.00	0.8600	0.0044	0.0024	0.0024	0.1308
175.00	0.8596	0.0044	0.0024	0.0024	0.1313
176.00	0.8592	0.0044	0.0024	0.0024	0.1317
177.00	0.8588	0.0043	0.0023	0.0023	0.1322
178.00	0.8584	0.0043	0.0023	0.0023	0.1327
179.00	0.8580	0.0043	0.0023	0.0023	0.1331
180.00	0.8576	0.0042	0.0023	0.0023	0.1336
181.00	0.8572	0.0042	0.0023	0.0023	0.1340
182.00	0.8568	0.0042	0.0023	0.0023	0.1345
183.00	0.8564	0.0042	0.0022	0.0022	0.1349
184.00	0.8560	0.0041	0.0022	0.0022	0.1354
185.00	0.8557	0.0041	0.0022	0.0022	0.1358
186.00	0.8553	0.0041	0.0022	0.0022	0.1363
187.00	0.8549	0.0040	0.0022	0.0022	0.1367
188.00	0.8545	0.0040	0.0022	0.0022	0.1371
189.00	0.8542	0.0040	0.0021	0.0021	0.1376
190.00	0.8538	0.0039	0.0021	0.0021	0.1380
191.00	0.8534	0.0039	0.0021	0.0021	0.1384
192.00	0.8531	0.0039	0.0021	0.0021	0.1388
193.00	0.8527	0.0038	0.0021	0.0021	0.1393
194.00	0.8524	0.0038	0.0021	0.0021	0.1397
195.00	0.8520	0.0038	0.0020	0.0020	0.1401
196.00	0.8517	0.0038	0.0020	0.0020	0.1405
197.00	0.8513	0.0037	0.0020	0.0020	0.1409
198.00	0.8510	0.0037	0.0020	0.0020	0.1413
199.00	0.8506	0.0037	0.0020	0.0020	0.1417
200.00	0.8503	0.0036	0.0020	0.0020	0.1421
201.00	0.8500	0.0036	0.0020	0.0020	0.1425
202.00	0.8496	0.0036	0.0019	0.0019	0.1429
203.00	0.8493	0.0036	0.0019	0.0019	0.1433
204.00	0.8490	0.0035	0.0019	0.0019	0.1437
205.00	0.8487	0.0035	0.0019	0.0019	0.1440
206.00	0.8483	0.0035	0.0019	0.0019	0.1444
207.00	0.8480	0.0034	0.0019	0.0019	0.1448
208.00	0.8477	0.0034	0.0019	0.0019	0.1452
209.00	0.8474	0.0034	0.0018	0.0018	0.1455
210.00	0.8471	0.0034	0.0018	0.0018	0.1459
211.00	0.8468	0.0033	0.0018	0.0018	0.1463
212.00	0.8465	0.0033	0.0018	0.0018	0.1466
213.00	0.8462	0.0033	0.0018	0.0018	0.1470
214.00	0.8459	0.0033	0.0018	0.0018	0.1473
215.00	0.8456	0.0032	0.0018	0.0018	0.1477
216.00	0.8453	0.0032	0.0017	0.0017	0.1480
217.00	0.8450	0.0032	0.0017	0.0017	0.1484
218.00	0.8447	0.0032	0.0017	0.0017	0.1487
219.00	0.8444	0.0031	0.0017	0.0017	0.1491
220.00	0.8441	0.0031	0.0017	0.0017	0.1494
221.00	0.8438	0.0031	0.0017	0.0017	0.1497
222.00	0.8436	0.0030	0.0017	0.0017	0.1501
223.00	0.8433	0.0030	0.0016	0.0016	0.1504
224.00	0.8430	0.0030	0.0016	0.0016	0.1507
225.00	0.8427	0.0030	0.0016	0.0016	0.1511
226.00	0.8425	0.0030	0.0016	0.0016	0.1514
227.00	0.8422	0.0029	0.0016	0.0016	0.1517
228.00	0.8419	0.0029	0.0016	0.0016	0.1520
229.00	0.8417	0.0029	0.0016	0.0016	0.1523
230.00	0.8414	0.0029	0.0016	0.0016	0.1526
231.00	0.8411	0.0028	0.0015	0.0015	0.1530
